date,category,amount,currency,note,need_want,confidence,rule
2026-04-30,personal_care,42990.00,UZS,Nivea deodorant 50ml | receipt LG420230644689 | ofd.soliq.uz,need,medium,keyword rule
2026-04-30,household,11990.00,UZS,Toilet paper x6 | receipt LG420230644689 | ofd.soliq.uz,need,high,category rule
2026-04-30,household,450.00,UZS,Bio bag | receipt LG420230644689 | ofd.soliq.uz,need,high,category rule
2026-04-30,drinks,11490.00,UZS,Hydrolife water 10L | receipt LG420230644689 | ofd.soliq.uz,need,high,category rule
2026-04-30,drinks,10990.00,UZS,Flavis pomegranate 1.25L | receipt LG420230644689 | ofd.soliq.uz,need,high,category rule
